route_id,departure_airport,arrival_airport,departure_country,arrival_country,departure_region,arrival_region,is_international,distance_km,avg_flight_time_h,annual_flights_2023,annual_passengers_2023,load_factor_pct,avg_aircraft_age_years,risk_index,incidents_per_mn_flights,route_type
RT00032,VVDN,VTCC,Vietnam,Thailand,AsiaPacific,AsiaPacific,1,1018,1.2,4812,816484,94.4,17.5,0.669,0.1053,Short-haul
RT00033,SCAR,RJBB,Chile,Japan,LatinAmerica,AsiaPacific,1,679,0.8,3644,480054,88.4,12.7,0.194,0.1662,Short-haul
RT00034,CYVR,GMAD,Canada,Morocco,NorthAmerica,Africa,1,426,0.5,676,107699,69.5,9.0,0.112,0.0598,Short-haul
RT00035,RJAA,RPVM,Japan,Philippines,AsiaPacific,AsiaPacific,1,1409,1.7,979,112814,85.3,5.4,0.204,0.1099,Short-haul
RT00036,VIDP,OIII,India,Iran,AsiaPacific,MiddleEast,1,1439,1.7,1335,155706,82.4,7.4,0.184,0.082,Short-haul
RT00037,KMIA,HTKJ,USA,Tanzania,NorthAmerica,Africa,1,415,0.5,426,42988,82.9,11.0,0.1,0.1141,Short-haul
RT00038,KJFK,SCVD,USA,Chile,NorthAmerica,LatinAmerica,1,671,0.8,8823,1591106,77.5,1.0,0.129,0.215,Short-haul
RT00039,EGGD,HEAT,UK,Egypt,Europe,Africa,1,2664,3.1,2863,453386,84.0,7.5,0.1,0.1471,Medium-haul
RT00040,HTKJ,OICC,Tanzania,Iran,Africa,MiddleEast,1,902,1.1,3843,517924,80.5,9.7,0.135,0.1773,Short-haul
RT00041,WMKB,VOMM,Malaysia,India,AsiaPacific,AsiaPacific,1,1706,2.0,10921,1305727,89.3,11.1,0.118,0.1475,Short-haul
RT00042,VECC,YBBN,India,Australia,AsiaPacific,AsiaPacific,1,918,1.1,3428,641623,78.6,1.5,0.335,0.2563,Short-haul
RT00043,YBBN,VVTS,Australia,Vietnam,AsiaPacific,AsiaPacific,1,2776,3.3,165,19034,98.0,7.4,0.683,0.1173,Medium-haul
RT00044,HECA,EDDB,Egypt,Germany,Africa,Europe,1,1761,2.1,4449,703231,72.1,10.0,0.254,0.0347,Short-haul
RT00045,OEJN,EDDH,Saudi Arabia,Germany,MiddleEast,Europe,1,1156,1.4,7181,741729,79.7,5.1,1.341,0.0365,Short-haul
RT00046,EGGD,UUEE,UK,Russia,Europe,Europe,1,2345,2.8,3110,330135,83.1,14.6,0.211,0.138,Medium-haul
RT00047,UNNT,CYYC,Russia,Canada,Europe,NorthAmerica,1,2943,3.5,6878,801846,75.7,6.1,0.149,0.0732,Medium-haul
RT00048,EDDB,HAAB,Germany,Ethiopia,Europe,Africa,1,5340,6.3,1297,167127,91.3,16.0,0.1,0.0983,Medium-haul
RT00049,SBCF,WABB,Brazil,Indonesia,LatinAmerica,AsiaPacific,1,1055,1.2,4433,760309,88.7,7.0,0.711,0.1236,Short-haul
RT00050,OERK,HAAB,Saudi Arabia,Ethiopia,MiddleEast,Africa,1,484,0.6,2337,337141,91.5,7.8,1.002,0.3161,Short-haul
RT00051,RJBB,VIDP,Japan,India,AsiaPacific,AsiaPacific,1,228,0.3,725,90328,82.0,11.1,0.1,0.231,Short-haul
RT00052,KLAX,SBGL,USA,Brazil,NorthAmerica,LatinAmerica,1,2356,2.8,4734,429857,85.3,12.2,0.481,0.223,Medium-haul
RT00053,CYYC,ZBAA,Canada,China,NorthAmerica,AsiaPacific,1,1237,1.5,2300,331548,72.7,17.1,0.23,0.1034,Short-haul
RT00054,OEJN,KJFK,Saudi Arabia,USA,MiddleEast,NorthAmerica,1,360,0.4,766,103605,88.1,13.4,0.119,0.1021,Short-haul
RT00055,SKBO,WSAP,Colombia,Singapore,LatinAmerica,SoutheastAsia,1,527,0.6,614,79425,82.6,7.5,0.173,0.0676,Short-haul
RT00056,VTUQ,SCVD,Thailand,Chile,AsiaPacific,LatinAmerica,1,851,1.0,3312,471689,87.1,11.2,0.105,0.364,Short-haul
RT00057,GMME,VVDN,Morocco,Vietnam,Africa,AsiaPacific,1,1811,2.1,1227,148071,79.4,12.2,0.257,0.0295,Short-haul
RT00058,UUDD,HKMO,Russia,Kenya,Europe,Africa,1,500,0.6,1113,135310,81.2,9.2,0.557,0.7425,Short-haul
RT00059,YSSY,OEJN,Australia,Saudi Arabia,AsiaPacific,MiddleEast,1,10576,12.4,1443,195122,75.0,10.3,0.438,0.101,Long-haul
RT00060,RKSS,ZGGG,SouthKorea,China,AsiaPacific,AsiaPacific,1,754,0.9,492,71034,81.2,2.1,0.408,0.0842,Short-haul
RT00061,VNKT,OPLA,Nepal,Pakistan,SouthAsia,SouthAsia,1,7389,8.7,462,63755,88.6,14.2,0.1,0.1833,Long-haul
RT00062,SKMR,MMMX,Colombia,Mexico,LatinAmerica,NorthAmerica,1,1654,1.9,2419,389520,78.3,2.7,0.368,0.0349,Short-haul
RT00063,VVTS,UUDD,Vietnam,Russia,AsiaPacific,Europe,1,2770,3.3,283,40790,85.3,8.4,0.215,0.1322,Medium-haul
RT00064,YBBN,SKBO,Australia,Colombia,AsiaPacific,LatinAmerica,1,513,0.6,1906,260306,78.6,11.3,0.266,0.0712,Short-haul
RT00065,VECC,ZBAA,India,China,AsiaPacific,AsiaPacific,1,746,0.9,1505,231913,94.4,10.3,0.129,0.3124,Short-haul
RT00066,LFLL,VTCC,France,Thailand,Europe,AsiaPacific,1,516,0.6,271,40117,75.1,10.6,1.585,0.0777,Short-haul
RT00067,RJBB,WSSS,Japan,Singapore,AsiaPacific,SoutheastAsia,1,1029,1.2,1207,232388,80.9,7.4,0.1,0.0717,Short-haul
RT00068,RPMD,VOMM,Philippines,India,AsiaPacific,AsiaPacific,1,329,0.4,8729,1270873,79.1,11.2,0.2,0.0237,Short-haul
RT00069,GMME,OIIE,Morocco,Iran,Africa,MiddleEast,1,1775,2.1,1168,86531,85.5,6.4,0.164,0.0718,Short-haul
RT00070,VTBS,CYVR,Thailand,Canada,AsiaPacific,NorthAmerica,1,2428,2.9,4896,495740,98.0,12.0,0.1,0.0954,Medium-haul
RT00071,VOMM,KDEN,India,USA,AsiaPacific,NorthAmerica,1,1266,1.5,2886,540810,93.7,4.6,0.317,0.2566,Short-haul
RT00072,WMKB,KSFO,Malaysia,USA,AsiaPacific,NorthAmerica,1,1947,2.3,2694,348434,83.1,4.9,0.322,0.6058,Short-haul
RT00073,VTUQ,WARR,Thailand,Indonesia,AsiaPacific,AsiaPacific,1,2821,3.3,12085,1789258,93.7,4.5,0.171,0.0787,Medium-haul
RT00074,LTAI,LFMN,Turkey,France,Europe,Europe,1,1025,1.2,3838,558045,75.5,6.9,0.106,0.1893,Short-haul
RT00075,URSS,RJBB,Russia,Japan,Europe,AsiaPacific,1,1092,1.3,4983,828203,69.8,8.4,0.127,0.1365,Short-haul
RT00076,VVNB,GMAD,Vietnam,Morocco,AsiaPacific,Africa,1,593,0.7,1319,251800,72.9,5.3,0.485,0.1643,Short-haul
RT00077,MMMX,DNMM,Mexico,Nigeria,NorthAmerica,Africa,1,1527,1.8,1822,223197,69.4,10.1,0.955,0.1189,Short-haul
RT00078,EGPH,RJTT,UK,Japan,Europe,AsiaPacific,1,2288,2.7,8218,1314321,91.0,11.7,0.1,0.233,Medium-haul
RT00079,KATL,SAEZ,USA,Argentina,NorthAmerica,LatinAmerica,1,911,1.1,1656,260182,83.5,10.0,0.499,0.1099,Short-haul
RT00080,CYYZ,WMKK,Canada,Malaysia,NorthAmerica,AsiaPacific,1,924,1.1,652,93234,74.1,7.6,1.42,0.1342,Short-haul
RT00081,VVNB,EGLL,Vietnam,UK,AsiaPacific,Europe,1,344,0.4,3563,507755,67.2,7.6,0.123,0.31,Short-haul
RT00082,OTBD,ZBAA,Qatar,China,MiddleEast,AsiaPacific,1,4847,5.7,1468,244277,83.7,9.6,0.431,0.1411,Medium-haul
RT00083,OPKC,SKCL,Pakistan,Colombia,SouthAsia,LatinAmerica,1,567,0.7,884,146755,78.0,6.9,0.262,0.062,Short-haul
RT00084,OTBD,GMAD,Qatar,Morocco,MiddleEast,Africa,1,2871,3.4,2116,214372,90.5,12.3,0.106,0.0254,Medium-haul
RT00085,ZBAA,DNKN,China,Nigeria,AsiaPacific,Africa,1,875,1.0,906,131750,82.5,2.0,0.227,0.0748,Short-haul
RT00086,DNKN,UUDD,Nigeria,Russia,Africa,Europe,1,3638,4.3,1907,252860,76.2,11.2,0.1,0.0656,Medium-haul
RT00087,HTKA,LTFM,Tanzania,Turkey,Africa,Europe,1,966,1.1,189,23218,72.1,17.6,0.1,0.2236,Short-haul
RT00088,ZUUU,WMKP,China,Malaysia,AsiaPacific,AsiaPacific,1,838,1.0,1246,255430,75.9,7.5,0.584,0.2419,Short-haul
RT00089,WIII,SKMR,Indonesia,Colombia,AsiaPacific,LatinAmerica,1,272,0.3,3521,679960,85.1,6.2,0.136,0.1606,Short-haul
RT00090,SBSV,HAHM,Brazil,Ethiopia,LatinAmerica,Africa,1,1078,1.3,2767,377341,67.8,8.4,0.1,0.1432,Short-haul
RT00091,WSAP,OPKC,Singapore,Pakistan,SoutheastAsia,SouthAsia,1,349,0.4,8731,1837438,81.7,14.9,0.157,0.2054,Short-haul
RT00092,KATL,VNPK,USA,Nepal,NorthAmerica,SouthAsia,1,1287,1.5,947,128641,81.8,12.0,0.153,0.2356,Short-haul
RT00093,FALE,RPLL,SouthAfrica,Philippines,Africa,AsiaPacific,1,566,0.7,1491,163993,73.1,13.0,0.282,0.1956,Short-haul
RT00094,HAHM,RKPK,Ethiopia,SouthKorea,Africa,AsiaPacific,1,1668,2.0,2003,221685,89.9,6.2,0.521,0.1046,Short-haul
RT00095,GMAD,CYYZ,Morocco,Canada,Africa,NorthAmerica,1,688,0.8,4069,299543,81.8,6.8,0.1,0.1053,Short-haul
RT00096,FNHU,EDDF,Angola,Germany,Africa,Europe,1,1265,1.5,827,84754,95.6,8.3,0.212,0.1593,Short-haul
RT00097,YSSY,OMSJ,Australia,UAE,AsiaPacific,MiddleEast,1,1517,1.8,565,58228,79.3,10.0,0.116,0.0831,Short-haul
RT00098,WMKP,HKMO,Malaysia,Kenya,AsiaPacific,Africa,1,688,0.8,3925,637008,81.2,6.4,0.386,0.0425,Short-haul
RT00099,SBGR,HKJK,Brazil,Kenya,LatinAmerica,Africa,1,6071,7.1,1136,179402,70.6,12.8,0.209,0.1418,Long-haul
RT00100,VOBL,SKBO,India,Colombia,AsiaPacific,LatinAmerica,1,485,0.6,8999,1723028,80.5,10.5,0.486,0.0502,Short-haul
RT00101,FALE,ZHHH,SouthAfrica,China,Africa,AsiaPacific,1,2271,2.7,2658,542976,76.6,8.8,0.609,0.0838,Medium-haul
RT00102,ZSPD,KSFO,China,USA,AsiaPacific,NorthAmerica,1,996,1.2,3312,534591,78.8,9.8,0.736,0.1907,Short-haul
RT00103,WMKK,FAOR,Malaysia,SouthAfrica,AsiaPacific,Africa,1,2787,3.3,956,145630,82.3,8.8,0.417,0.3509,Medium-haul
RT00104,RKPK,VIDP,SouthKorea,India,AsiaPacific,AsiaPacific,1,2059,2.4,3116,292527,95.6,12.1,0.546,0.0211,Medium-haul
RT00105,SKBO,HEAT,Colombia,Egypt,LatinAmerica,Africa,1,1108,1.3,2655,520927,92.4,5.7,0.547,0.1242,Short-haul
RT00106,LFLL,UUEE,France,Russia,Europe,Europe,1,506,0.6,6915,1035519,80.3,11.2,0.252,0.0851,Short-haul
RT00107,KJFK,RPVM,USA,Philippines,NorthAmerica,AsiaPacific,1,1064,1.3,1961,208164,76.6,14.6,0.169,0.1345,Short-haul
RT00108,OMDB,RPVM,UAE,Philippines,MiddleEast,AsiaPacific,1,1799,2.1,1723,198476,98.0,12.6,0.835,0.068,Short-haul
RT00109,OTBD,SCEL,Qatar,Chile,MiddleEast,LatinAmerica,1,4084,4.8,3640,496096,90.5,14.5,0.1,0.0684,Medium-haul
RT00110,EDDH,DNKN,Germany,Nigeria,Europe,Africa,1,1585,1.9,1078,125056,93.9,11.8,0.6,0.0872,Short-haul
RT00111,SCVD,HTKA,Chile,Tanzania,LatinAmerica,Africa,1,617,0.7,655,109925,79.6,5.8,0.137,0.1959,Short-haul
RT00112,DNAS,HELX,Nigeria,Egypt,Africa,Africa,1,3136,3.7,2825,416437,98.0,13.2,0.567,0.2897,Medium-haul
RT00113,UUDD,CYYZ,Russia,Canada,Europe,NorthAmerica,1,387,0.5,2047,236777,77.7,13.2,0.352,0.1925,Short-haul
RT00114,FALE,SCVD,SouthAfrica,Chile,Africa,LatinAmerica,1,478,0.6,861,150778,74.5,9.8,1.178,0.0618,Short-haul
RT00115,HTKJ,SBSV,Tanzania,Brazil,Africa,LatinAmerica,1,526,0.6,4911,722852,73.2,8.8,0.914,0.0287,Short-haul
RT00116,KMIA,YMML,USA,Australia,NorthAmerica,AsiaPacific,1,2571,3.0,6245,987496,89.8,13.3,0.1,0.0553,Medium-haul
RT00117,ZGGG,KMIA,China,USA,AsiaPacific,NorthAmerica,1,951,1.1,385,56888,82.2,13.0,0.904,0.0382,Short-haul
RT00118,VVNB,DNAS,Vietnam,Nigeria,AsiaPacific,Africa,1,459,0.5,2269,302002,66.5,9.5,0.166,0.0574,Short-haul
RT00119,WSSS,EGPH,Singapore,UK,SoutheastAsia,Europe,1,680,0.8,1581,251088,79.2,8.2,0.274,0.2479,Short-haul
RT00120,OMDB,OTBD,UAE,Qatar,MiddleEast,MiddleEast,1,1071,1.3,2553,416341,91.2,7.6,0.1,0.2585,Short-haul
RT00121,HAHM,SCVD,Ethiopia,Chile,Africa,LatinAmerica,1,1734,2.0,1477,175245,80.3,9.2,0.372,0.0539,Short-haul
RT00122,RPLL,VABB,Philippines,India,AsiaPacific,AsiaPacific,1,1041,1.2,743,93127,93.9,8.4,0.125,0.0402,Short-haul
RT00123,RKSS,HKJK,SouthKorea,Kenya,AsiaPacific,Africa,1,610,0.7,699,76728,90.9,11.2,0.468,0.2078,Short-haul
RT00124,KLAX,RPLL,USA,Philippines,NorthAmerica,AsiaPacific,1,329,0.4,4764,727755,79.9,9.1,0.526,0.0897,Short-haul
RT00125,WMKK,KORD,Malaysia,USA,AsiaPacific,NorthAmerica,1,646,0.8,9418,1587059,88.1,4.7,0.119,0.2022,Short-haul
RT00126,OMDB,KDEN,UAE,USA,MiddleEast,NorthAmerica,1,200,0.2,278,51364,94.0,7.3,0.152,0.1808,Short-haul
RT00127,ZUUU,DNMM,China,Nigeria,AsiaPacific,Africa,1,516,0.6,11866,1891954,76.6,10.6,0.129,0.1656,Short-haul
RT00128,HECA,KLAX,Egypt,USA,Africa,NorthAmerica,1,215,0.3,1545,250476,76.0,4.8,0.1,0.1488,Short-haul
RT00129,OTBD,CYYZ,Qatar,Canada,MiddleEast,NorthAmerica,1,754,0.9,1737,169576,89.0,3.8,0.358,0.0911,Short-haul
RT00130,VVNB,OEJN,Vietnam,Saudi Arabia,AsiaPacific,MiddleEast,1,687,0.8,1725,250907,88.0,9.9,0.174,0.0472,Short-haul
RT00131,VABB,HECA,India,Egypt,AsiaPacific,Africa,1,2125,2.5,4445,811760,88.5,11.0,0.1,0.4147,Medium-haul
RT00132,OERK,YPPH,Saudi Arabia,Australia,MiddleEast,AsiaPacific,1,1106,1.3,1859,224571,90.3,9.2,0.422,0.1243,Short-haul
RT00133,LTAI,ZBAA,Turkey,China,Europe,AsiaPacific,1,911,1.1,5241,947748,78.1,9.0,0.127,0.1447,Short-haul
RT00134,VNPL,EDDF,Nepal,Germany,SouthAsia,Europe,1,2465,2.9,100,12893,79.8,20.4,0.193,0.2202,Medium-haul
RT00135,FNBG,OIIE,Angola,Iran,Africa,MiddleEast,1,404,0.5,721,106987,85.6,9.5,0.187,0.9792,Short-haul
RT00136,WIMM,UUEE,Indonesia,Russia,AsiaPacific,Europe,1,1707,2.0,2537,358479,71.2,1.0,0.414,0.0644,Short-haul
RT00137,SAEZ,RJFF,Argentina,Japan,LatinAmerica,AsiaPacific,1,2495,2.9,1965,362526,87.8,12.6,0.1,0.0651,Medium-haul
RT00138,OIIE,HEAT,Iran,Egypt,MiddleEast,Africa,1,5584,6.6,1842,205181,89.0,7.1,0.18,0.0842,Medium-haul
RT00139,VVDN,HEAT,Vietnam,Egypt,AsiaPacific,Africa,1,701,0.8,554,66850,90.3,6.6,0.122,0.1088,Short-haul
RT00140,KATL,LFPG,USA,France,NorthAmerica,Europe,1,1088,1.3,6605,1085536,68.0,14.8,0.1,0.1459,Short-haul
RT00141,HEAT,KMIA,Egypt,USA,Africa,NorthAmerica,1,2180,2.6,349,45019,68.5,12.0,0.199,0.1038,Medium-haul
RT00142,RPLL,RJFF,Philippines,Japan,AsiaPacific,AsiaPacific,1,1260,1.5,3657,368437,77.5,12.2,0.282,0.1776,Short-haul
RT00143,WMKK,CYYC,Malaysia,Canada,AsiaPacific,NorthAmerica,1,1878,2.2,4623,818775,84.3,4.3,0.442,0.0249,Short-haul
RT00144,OPKC,OTBD,Pakistan,Qatar,SouthAsia,MiddleEast,1,200,0.2,2353,301846,89.8,1.1,0.206,0.2853,Short-haul
RT00145,VVNB,DNMM,Vietnam,Nigeria,AsiaPacific,Africa,1,741,0.9,1399,177809,81.8,12.4,0.414,0.2822,Short-haul
RT00146,HTDA,GMAD,Tanzania,Morocco,Africa,Africa,1,724,0.9,2898,535146,67.9,8.7,0.25,0.219,Short-haul
RT00147,DNAS,ZBAA,Nigeria,China,Africa,AsiaPacific,1,1318,1.6,1871,268400,98.0,7.6,0.193,0.6956,Short-haul
RT00148,KDEN,SCAR,USA,Chile,NorthAmerica,LatinAmerica,1,793,0.9,2822,421592,75.2,1.0,0.433,0.1538,Short-haul
RT00149,HEAT,UUEE,Egypt,Russia,Africa,Europe,1,966,1.1,3677,494148,88.9,5.5,1.47,0.0577,Short-haul
RT00150,UNNT,LTAI,Russia,Turkey,Europe,Europe,1,258,0.3,2400,348967,88.1,6.9,0.237,0.1441,Short-haul
RT00151,HKMO,WARR,Kenya,Indonesia,Africa,AsiaPacific,1,2053,2.4,586,75685,74.2,4.3,0.186,0.173,Medium-haul
RT00152,VTCC,ZGGG,Thailand,China,AsiaPacific,AsiaPacific,1,287,0.3,18460,2850637,65.9,8.2,0.156,0.1351,Short-haul
RT00153,EDDH,OICC,Germany,Iran,Europe,MiddleEast,1,3334,3.9,6486,713557,84.7,9.7,1.411,0.2586,Medium-haul
RT00154,MMGL,KMIA,Mexico,USA,NorthAmerica,NorthAmerica,1,1507,1.8,1385,169757,70.6,15.2,0.432,0.1337,Short-haul
RT00155,VTCC,KSFO,Thailand,USA,AsiaPacific,NorthAmerica,1,998,1.2,1583,119651,85.7,14.9,0.475,0.1099,Short-haul
RT00156,FNBG,VABB,Angola,India,Africa,AsiaPacific,1,1219,1.4,7495,1186307,85.0,6.5,0.184,0.2431,Short-haul
RT00157,MMMX,SBCF,Mexico,Brazil,NorthAmerica,LatinAmerica,1,255,0.3,296,30494,70.5,8.5,0.316,0.1315,Short-haul
RT00158,OTBD,VNKT,Qatar,Nepal,MiddleEast,SouthAsia,1,1259,1.5,3162,427202,81.0,8.1,0.204,0.1636,Short-haul
RT00159,WMKB,WSAP,Malaysia,Singapore,AsiaPacific,SoutheastAsia,1,1384,1.6,2564,332606,90.2,3.5,0.115,0.1224,Short-haul
RT00160,RKPK,VNPL,SouthKorea,Nepal,AsiaPacific,SouthAsia,1,3494,4.1,4625,712717,89.8,9.8,0.151,0.0529,Medium-haul
RT00161,LFLL,KSFO,France,USA,Europe,NorthAmerica,1,2499,2.9,1440,178385,98.0,12.7,0.141,0.0377,Medium-haul
RT00162,LFLL,DNAS,France,Nigeria,Europe,Africa,1,1895,2.2,1923,302389,96.0,12.0,0.378,0.2396,Short-haul
RT00163,EGPH,OTBD,UK,Qatar,Europe,MiddleEast,1,318,0.4,11363,1028368,94.1,10.3,0.423,0.2326,Short-haul
RT00164,EDDM,HTDA,Germany,Tanzania,Europe,Africa,1,906,1.1,5285,702435,66.5,11.3,0.508,0.0682,Short-haul
RT00165,LFMN,WIII,France,Indonesia,Europe,AsiaPacific,1,2183,2.6,343,65119,90.1,12.7,0.237,0.229,Medium-haul
RT00166,KORD,RJBB,USA,Japan,NorthAmerica,AsiaPacific,1,1842,2.2,5713,710110,66.0,9.9,0.124,0.2129,Short-haul
RT00167,OIIE,OERK,Iran,Saudi Arabia,MiddleEast,MiddleEast,1,2947,3.5,873,100525,83.4,12.2,1.2,0.1303,Medium-haul
RT00168,HTKA,RPVM,Tanzania,Philippines,Africa,AsiaPacific,1,2227,2.6,1037,151488,80.5,4.6,0.144,0.1847,Medium-haul
RT00169,DNMM,LTFM,Nigeria,Turkey,Africa,Europe,1,1085,1.3,1609,176854,83.4,7.0,0.167,0.1316,Short-haul
RT00170,SAEZ,URSS,Argentina,Russia,LatinAmerica,Europe,1,770,0.9,947,130450,92.4,4.7,0.243,0.1375,Short-haul
RT00171,SCVD,SAME,Chile,Argentina,LatinAmerica,LatinAmerica,1,576,0.7,3439,456545,85.1,13.8,0.567,0.1749,Short-haul
RT00172,OEDM,RKSI,Saudi Arabia,SouthKorea,MiddleEast,AsiaPacific,1,528,0.6,4295,758104,82.6,11.3,0.1,0.0448,Short-haul
RT00173,CYVR,MMGL,Canada,Mexico,NorthAmerica,NorthAmerica,1,1353,1.6,1365,164293,88.0,9.2,0.126,0.0588,Short-haul
RT00174,CYYZ,YSSY,Canada,Australia,NorthAmerica,AsiaPacific,1,433,0.5,2328,249384,89.6,14.4,0.342,0.1011,Short-haul
RT00175,FACT,WMKP,SouthAfrica,Malaysia,Africa,AsiaPacific,1,325,0.4,2432,264839,83.2,4.1,0.251,0.1054,Short-haul
RT00176,DNMM,YSSY,Nigeria,Australia,Africa,AsiaPacific,1,911,1.1,1649,230097,72.6,16.9,0.127,0.6283,Short-haul
RT00177,HELX,RKSI,Egypt,SouthKorea,Africa,AsiaPacific,1,324,0.4,1191,147598,68.9,13.9,0.173,0.1079,Short-haul
RT00178,HTKJ,DNMM,Tanzania,Nigeria,Africa,Africa,1,2406,2.8,2406,343490,90.8,12.8,0.1,0.3333,Medium-haul
RT00179,VTCC,RJFF,Thailand,Japan,AsiaPacific,AsiaPacific,1,1364,1.6,1554,252080,70.0,13.7,0.328,0.163,Short-haul
RT00180,KORD,VIDP,USA,India,NorthAmerica,AsiaPacific,1,3638,4.3,1103,208329,79.3,10.7,0.166,0.0488,Medium-haul
RT00181,OICC,VNKT,Iran,Nepal,MiddleEast,SouthAsia,1,1413,1.7,215,18955,74.5,15.3,0.23,0.125,Short-haul
RT00182,OMAA,ZGGG,UAE,China,MiddleEast,AsiaPacific,1,360,0.4,2940,415982,71.8,10.4,0.132,0.1648,Short-haul
RT00183,EDDH,VTUQ,Germany,Thailand,Europe,AsiaPacific,1,2192,2.6,1454,149024,86.6,18.2,0.339,0.1574,Medium-haul
